prompt,response
"What is the 50/30/20 budget rule?","The 50/30/20 rule is a simple budgeting method. Allocate 50% of your after-tax income to needs (rent, groceries, utilities), 30% to wants (dining out, hobbies), and 20% to savings and debt repayment."
"How can I improve my credit score?","Pay all bills on time, keep credit card balances low relative to their limits, avoid opening too many new accounts at once, and check your credit report regularly for errors."
"What is compound interest?","Compound interest is when you earn interest on both your initial money and the interest it has already earned. It causes wealth to grow exponentially over time, which is why starting to save early is so powerful."
"What should I do in a job interview?","Research the company thoroughly, prepare specific examples of your accomplishments using the STAR method (Situation, Task, Action, Result), ask insightful questions, and send a thank-you note afterward."
"How do I create a strong password?","Use a long passphrase (a series of random words), include numbers and symbols, avoid personal information, and use a unique password for each important account. A password manager can help."
"What are the basic steps of CPR?","For an adult, call for help, place the heel of one hand on the center of the chest, place your other hand on top, and push hard and fast at 100-120 beats per minute. Use an AED if available."
"How can I reduce my stress levels?","Practice mindfulness or meditation, get regular physical exercise, ensure you get enough sleep, talk to a friend or therapist, and learn to say no to excessive commitments."
"What is the difference between a Roth and a Traditional IRA?","With a Traditional IRA, you contribute pre-tax money and pay taxes on withdrawals in retirement. With a Roth IRA, you contribute post-tax money and withdrawals in retirement are tax-free."
"How do I negotiate a salary offer?","Research market rates for the role, know your minimum acceptable salary, let the employer state a number first, highlight your value, and practice your talking points. Negotiate the entire package, not just base pay."
"What are the signs of a phishing email?","Look for generic greetings, urgent or threatening language, spoofed sender addresses, requests for personal information, and suspicious links or attachments. When in doubt, contact the company directly."
"What is 'networking' and how do I do it effectively?","Networking is building professional relationships. It's about offering help to others, not just asking for favors. Be genuine, listen more than you talk, and connect with people through events, LinkedIn, and informational interviews."
"How often should I back up my computer?","The 3-2-1 rule is best: have at least 3 total copies of your data, 2 of which are local but on different devices (e.g., computer and external drive), and 1 copy off-site (e.g., cloud storage). Automate this if possible."
